ID,Name,Rolle,Geschlecht,Region,Funktion,Ehemalige_Partei
SZ,Sabine Zimmermann,Beisitzerin und Mitglied des Landtags,1,Sachsen,6,1
TG,Thomas Geisel,Beisitzer & EU Parlament Abgeordneter,2,EU ,6,2
KW,Katja Wolf,Landesvorsitzende,1,Thüringen,6,1
TK,Tilo Kummer,"Geschäftsführer des Thüringer Landesverbands, langjähriger Landtagsabgeordneter der Linken",2,Thüringen,6,1
TR,Thorsten Renken,Landesvorsitzender BSW Niedersachsen,2,Niedersachsen,6,0
TS,Thomas Schmid,BSW Landtagskandidat,2,Thüringen,6,"2, 3  - 4"
TST,Thomas Stanger,Mitglied BSW/Geldgeber,2,NA,6,0
UL,Ulf Lange ,"BSW Kandidat Landtagswahl Sachsen, ehemaliger Stasi Mitarbeiter ",2,Sachsen,6,0
UT,Uta Tesch,Erweiteter Landesvorstand,1,BaWü,6,0
VL,Valoon GmbH,Baustellentechnik,3,NA,4,0
VP,Volksbank Pirna ,Volksbank Pirna,3,Pirna,4,0
VS,Volker Schneider,Mitglied BSW,2,Bund,6,1
WEF,World Economic Forum – Future of Construction Initiative,NGO,3,NA,5,0
WFD,Wachregiment Feliks Dzierzynski,Wehrdienst im Wachregiment Feliks Dzierzynski,3,Ost-Berlin ,1,0
WH,Wolfhard Hack,"BSW Kandidat Landtagswahl Sachsen, ehemaliger Stasi Mitarbeiter ",2,Sachsen,6,0
WP,Wladimir Putin,Präsident Russland,2,Russland,6,0
WT,Werner Trapmann,Gründungsmitglied BSW,2,Bund,7,0
YP,Yukon Projects GmbH,Projektmanagement in Bauprojekten,3,NA,4,0
ZB,Zeitschrift Bauingenieur,Medien,3,NA,2,0
ZHS,Zentralrat der Serben in Hessen,Zentralrat der Serben in Hessen,3,Hessen,2,0
ZIA,Zentraler Immobilienausschuss,Verband,3,NA,2,0
ZN,Zaklin Nastic ,"BSW-Mitgründerin, Bundestagsabgeordnete, Vorstand BSW",1,Hamburg,6,1
